user_id,manga_id,rating
15042,86158,95
15042,86171,60
15042,86217,70
15042,86310,80
15042,86399,95
15042,86434,40
15042,86511,70
15042,86621,60
15042,87066,50
15042,87220,60
15042,87261,40
15042,88559,70
15042,88577,50
15042,91144,70
15042,92454,70
15042,96394,60
15042,97599,70
15042,97684,50
15042,98087,65
15042,98156,55
15042,98587,90
15042,99219,65
15042,99631,40
15042,100323,60
15042,101855,40
15042,102120,60
15042,105398,85
15042,106757,55
15042,113535,65
15042,118706,50
15042,125975,60
15042,141756,90
206491,30671,80
206491,31121,80
206491,31282,90
206491,31745,90
206491,32572,90
206491,33048,60
206491,33884,70
206491,35994,80
206491,36320,70
206491,36758,50
206491,39134,60
206491,44923,60
206491,45553,60
206491,47169,70
206491,48939,80
206491,49896,80
206491,51111,100
206491,51151,70
206491,51732,70
206491,52046,90
206491,52519,80
206491,54275,80
206491,55338,60
206491,55679,50
206491,56612,90
206491,57989,70
206491,60859,70
206491,62081,70
206491,62097,40
206491,66873,70
206491,67631,70
206491,68157,70
206491,71301,70
206491,72451,100
206491,74155,80
206491,74569,60
206491,74883,60
206491,76836,50
206491,78881,90
206491,79967,70
206491,81309,100
206491,81567,70
206491,81755,80
206491,85183,80
206491,85258,60
206491,85262,80
206491,85310,70
206491,85467,80
206491,85529,100
206491,85634,70
206491,85703,70
206491,85736,80
206491,85777,70
206491,85814,90
206491,85849,90
206491,85886,70
206491,85887,90
206491,85890,70
206491,85915,80
206491,85939,80
206491,85940,70
206491,85951,80
206491,85995,60
206491,86218,90
206491,86240,50
206491,86300,100
206491,86432,60
206491,86577,80
206491,86607,80
206491,86669,20
206491,86797,90
206491,86969,60
206491,87029,80
206491,87213,100
206491,87220,100
206491,87315,70
206491,87471,90
206491,89202,80
206491,92205,60
206491,97038,70
206491,97150,70
206491,97207,70
206491,97240,40
206491,97277,40
206491,97305,70
206491,97741,70
206491,97751,70
206491,97836,70
206491,97852,80
206491,97925,30
206491,98112,80
206491,98177,70
206491,98235,100
206491,98382,60
206491,98532,80
206491,98694,80
206491,98801,60
206491,98836,80
206491,98911,100
206491,99238,50
206491,99309,90
206491,99571,40
206491,99573,60
206491,99625,90
206491,99774,70
206491,99931,40
206491,100207,70
206491,100230,80
206491,100234,50
206491,100293,80
206491,100311,60
206491,100456,80
206491,100664,80
206491,100827,70
206491,100843,60
206491,100962,70
206491,101029,60
206491,101185,80
206491,101434,80
206491,101552,60
206491,101578,70
206491,101583,90
206491,101617,50
206491,101618,80
206491,101626,80
206491,101668,90
206491,101754,70
206491,101756,80
206491,101870,80
206491,102023,60
206491,102056,100
206491,102181,70
206491,102271,70
206491,103204,100
206491,103294,80
206491,103570,70
206491,103621,40
206491,103736,90
206491,104140,100
206491,104221,60
206491,104255,70
206491,104287,50
206491,104438,70
206491,104608,50
206491,104689,70
206491,104699,70
206491,104864,90
206491,105004,80
206491,105304,90
206491,105464,80
206491,105577,80
206491,105791,70
206491,105896,80
206491,105997,80
206491,106434,90
206491,106454,70
206491,106757,60
206491,106831,70
206491,106836,60
206491,106890,60
206491,107282,90
206491,107468,60
206491,107649,100
206491,107689,70
206491,107690,70
206491,107700,80
206491,108258,80
206491,108441,50
206491,108841,100
206491,108866,60
206491,108927,60
206491,109140,60
206491,109310,80
206491,109448,60
206491,109582,70
206491,109672,70
206491,109790,90
206491,110048,80
206491,110062,70
206491,110126,70
206491,110205,90
206491,110439,60
206491,110616,70
206491,110724,70
206491,110731,60
206491,110872,60
206491,110918,50
206491,110958,60
206491,111198,60
206491,111233,90
206491,111253,70
206491,111403,90
206491,111404,80
206491,112981,80
206491,113005,80
206491,113375,70
206491,113801,70
